customer_id,order_id,amount,date,segment
CUST_0001,1001,287.87,2026-08-01,Enterprise
CUST_0002,1002,152.62,2026-08-01,Enterprise
CUST_0003,1003,21.77,2026-08-01,Wholesale
CUST_0004,1004,421.64,2026-08-01,Wholesale
CUST_0005,1005,234.61,2026-08-01,Enterprise
CUST_0006,1006,338.7,2026-08-01,Enterprise
CUST_0007,1007,333.96,2026-08-01,Wholesale
CUST_0008,1008,414.45,2026-08-01,Wholesale
CUST_0009,1009,200.36,2026-08-01,Enterprise
CUST_0010,1010,134.9,2026-08-01,Enterprise
CUST_0011,1011,134.59,2026-08-01,Enterprise
CUST_0012,1012,83.19,2026-08-01,Retail
CUST_0013,1013,305.3,2026-08-01,Enterprise
CUST_0014,1014,416.35,2026-08-01,Retail
CUST_0015,1015,61.33,2026-08-01,Retail
CUST_0016,1016,170.53,2026-08-01,Wholesale
CUST_0017,1017,284.69,2026-08-01,Retail
CUST_0018,1018,328.89,2026-08-01,Enterprise
CUST_0019,1019,434.32,2026-08-01,Retail
CUST_0020,1020,164.15,2026-08-01,Enterprise
CUST_0021,1021,169.82,2026-08-01,Enterprise
CUST_0022,1022,23.97,2026-08-01,Wholesale
CUST_0023,1023,181.87,2026-08-01,Enterprise
CUST_0024,1024,121.69,2026-08-01,Wholesale
CUST_0025,1025,12.05,2026-08-01,Retail
CUST_0026,1026,244.14,2026-08-01,Retail
CUST_0027,1027,443.92,2026-08-01,Enterprise
CUST_0028,1028,465.45,2026-08-01,Retail
CUST_0029,1029,292.75,2026-08-01,Enterprise
CUST_0030,1030,285.19,2026-08-01,Wholesale
CUST_0031,1031,182.66,2026-08-01,Enterprise
CUST_0032,1032,244.78,2026-08-01,Retail
CUST_0033,1033,354.04,2026-08-01,Wholesale
CUST_0034,1034,278.68,2026-08-01,Enterprise
CUST_0035,1035,389.65,2026-08-01,Enterprise
CUST_0036,1036,186.22,2026-08-01,Enterprise
CUST_0037,1037,447.58,2026-08-01,Wholesale
CUST_0038,1038,325.53,2026-08-01,Retail
CUST_0039,1039,398.26,2026-08-01,Retail
CUST_0040,1040,378.53,2026-08-01,Enterprise
CUST_0041,1041,259.8,2026-08-01,Retail
CUST_0042,1042,102.21,2026-08-01,Enterprise
CUST_0043,1043,286.91,2026-08-01,Wholesale
CUST_0044,1044,63.69,2026-08-01,Enterprise
CUST_0045,1045,57.37,2026-08-01,Retail
CUST_0046,1046,375.04,2026-08-01,Retail
CUST_0047,1047,82.6,2026-08-01,Retail
CUST_0048,1048,240.75,2026-08-01,Retail
CUST_0049,1049,106.12,2026-08-01,Enterprise
CUST_0050,1050,424.24,2026-08-01,Enterprise
CUST_0051,1051,258.27,2026-08-01,Retail
CUST_0052,1052,164.97,2026-08-01,Wholesale
CUST_0053,1053,27.25,2026-08-01,Enterprise
CUST_0054,1054,381.77,2026-08-01,Wholesale
CUST_0055,1055,112.23,2026-08-01,Wholesale
CUST_0056,1056,109.91,2026-08-01,Enterprise
CUST_0057,1057,279.86,2026-08-01,Retail
CUST_0058,1058,142.3,2026-08-01,Enterprise
CUST_0059,1059,419.45,2026-08-01,Wholesale
CUST_0060,1060,120.72,2026-08-01,Retail
CUST_0061,1061,206.18,2026-08-01,Enterprise
CUST_0062,1062,311.85,2026-08-01,Retail
CUST_0063,1063,42.37,2026-08-01,Retail
CUST_0064,1064,311.79,2026-08-01,Wholesale
CUST_0065,1065,376.69,2026-08-01,Enterprise
CUST_0066,1066,14.24,2026-08-01,Wholesale
CUST_0067,1067,497.76,2026-08-01,Wholesale
CUST_0068,1068,309.99,2026-08-01,Retail
CUST_0069,1069,167.43,2026-08-01,Wholesale
CUST_0070,1070,242.37,2026-08-01,Wholesale
CUST_0071,1071,321.79,2026-08-01,Wholesale
CUST_0072,1072,59.37,2026-08-01,Enterprise
CUST_0073,1073,468.24,2026-08-01,Wholesale
CUST_0074,1074,263.26,2026-08-01,Retail
CUST_0075,1075,243.91,2026-08-01,Wholesale
CUST_0076,1076,342.91,2026-08-01,Retail
CUST_0077,1077,343.1,2026-08-01,Enterprise
CUST_0078,1078,307.07,2026-08-01,Retail
CUST_0079,1079,366.72,2026-08-01,Retail
CUST_0080,1080,308.16,2026-08-01,Enterprise
CUST_0081,1081,342.7,2026-08-01,Wholesale
CUST_0082,1082,284.71,2026-08-01,Retail
CUST_0083,1083,58.37,2026-08-01,Wholesale
CUST_0084,1084,276.37,2026-08-01,Retail
CUST_0085,1085,224.84,2026-08-01,Enterprise
CUST_0086,1086,499.74,2026-08-01,Enterprise
CUST_0087,1087,218.01,2026-08-01,Enterprise
CUST_0088,1088,61.51,2026-08-01,Enterprise
CUST_0089,1089,180.98,2026-08-01,Retail
CUST_0090,1090,427.82,2026-08-01,Retail
CUST_0091,1091,463.48,2026-08-01,Wholesale
CUST_0092,1092,450.91,2026-08-01,Wholesale
CUST_0093,1093,384.5,2026-08-01,Enterprise
CUST_0094,1094,231.58,2026-08-01,Wholesale
CUST_0095,1095,227.76,2026-08-01,Wholesale
CUST_0096,1096,41.73,2026-08-01,Retail
CUST_0097,1097,62.62,2026-08-01,Wholesale
CUST_0098,1098,253.17,2026-08-01,Retail
CUST_0099,1099,265.76,2026-08-01,Retail
CUST_0100,1100,91.67,2026-08-01,Retail
CUST_0101,1101,215.69,2026-08-01,Wholesale
CUST_0102,1102,109.03,2026-08-01,Retail
CUST_0103,1103,172.42,2026-08-01,Wholesale
CUST_0104,1104,414.71,2026-08-01,Enterprise
CUST_0105,1105,45.39,2026-08-01,Retail
CUST_0106,1106,104.18,2026-08-01,Wholesale
CUST_0107,1107,403.25,2026-08-01,Retail
CUST_0108,1108,53.8,2026-08-01,Enterprise
CUST_0109,1109,426.18,2026-08-01,Enterprise
CUST_0110,1110,218.88,2026-08-01,Enterprise
CUST_0111,1111,442.87,2026-08-01,Enterprise
CUST_0112,1112,110.21,2026-08-01,Wholesale
CUST_0113,1113,409.03,2026-08-01,Enterprise
CUST_0114,1114,23.01,2026-08-01,Retail
CUST_0115,1115,437.17,2026-08-01,Retail
CUST_0116,1116,478.84,2026-08-01,Retail
CUST_0117,1117,56.67,2026-08-01,Wholesale
CUST_0118,1118,156.31,2026-08-01,Wholesale
CUST_0119,1119,280.28,2026-08-01,Enterprise
